feature,classifier,accuracy,precision,recall,f1,f1_macro,f1_micro,roc_auc
TF-IDF,MLP,0.9529764882441221,0.9520486332306172,0.9529764882441221,0.9516757945045027,0.7247982858449087,0.9529764882441221,0.9706103051525763
TF-IDF,RFC,0.9474737368684342,0.9481846606170541,0.9474737368684342,0.9454969336439416,0.7533021196283392,0.9474737368684342,0.9671710855427714
TF-IDF,ExtraTrees,0.9439719859929965,0.9437642485198956,0.9439719859929965,0.9416996709919281,0.7416405199462124,0.9439719859929965,0.9649824912456227
TF-IDF,LogisticRegression,0.9389694847423712,0.9439303006285393,0.9389694847423712,0.9391384412535576,0.7261513711699596,0.9389694847423712,0.9618559279639821
TF-IDF,NearestCentroid,0.9414707353676839,0.9398662510602775,0.9414707353676839,0.9390522691172896,0.683566874479278,0.9414707353676839,0.9634192096048024
TF-IDF,Perceptron,0.935967983991996,0.9424170117547039,0.935967983991996,0.9385770103928405,0.662512035366609,0.935967983991996,0.9599799899949976
TF-IDF,SGDClassifier,0.9354677338669335,0.94074791498354,0.9354677338669335,0.9377229276150647,0.6462393398002997,0.9354677338669335,0.9596673336668334
TF-IDF,Bagging,0.9299649824912456,0.9331188490834476,0.9299649824912456,0.9297975107245997,0.7003435404901032,0.9299649824912456,0.9562281140570286
TF-IDF,PassiveAggressive,0.9234617308654327,0.9313703628784021,0.9234617308654327,0.9254950379066587,0.6918399616134563,0.9234617308654327,0.9521635817908954
TF-IDF,SVM_RBF,0.9304652326163082,0.9311673168517032,0.9304652326163082,0.9172119443762503,0.5579389952919256,0.9304652326163082,0.9565407703851927
TF-IDF,DecisionTree,0.8989494747373686,0.9180673769167383,0.8989494747373686,0.9055278688515959,0.6451084180036168,0.8989494747373686,0.9368434217108553
TF-IDF,OneVsOne,0.8939469734867433,0.9267976778151796,0.8939469734867433,0.9034043087865422,0.7033281799404684,0.8939469734867433,0.9337168584292146
TF-IDF,OneVsRest,0.8934467233616809,0.9259290430204897,0.8934467233616809,0.9032847673987576,0.6978008441256149,0.8934467233616809,0.9334042021010505
TF-IDF,LinearSVC,0.8739369684842421,0.9255275304890255,0.8739369684842421,0.8893033196716179,0.6957196174750856,0.8739369684842421,0.9212106053026514
TF-IDF,SVC-GC,0.9104552276138069,0.9147215680814254,0.9104552276138069,0.8803100892980439,0.5882239954499271,0.9104552276138069,0.9440345172586293
TF-IDF,RidgeClassifier,0.8544272136068034,0.9154582319343025,0.8544272136068034,0.8740372122737359,0.6652756617909933,0.8544272136068034,0.9090170085042522
TF-IDF,AdaBoost,0.8939469734867433,0.8523820560069064,0.8939469734867433,0.8536405260000535,0.22292997985749247,0.8939469734867433,0.9337168584292146
TF-IDF,KNeighbors,0.5632816408204102,0.8659482865847643,0.5632816408204102,0.6463604738724612,0.23112650671804177,0.5632816408204102,0.7270510255127564
